Equipo,Puesto,Jugador,Edad,Nacimiento,dia_mes,nro_mes,año,Altura_cm,Ciudad_nac,Pais_nac
Tigre,MED,Aaron Molinas,22,8/2/2000,02-ago,8,2000,175,,Argentina
Banfield,DEF,Aarón Quirós,21,10/31/2001,31-oct,10,2001,,,Argentina
Tigre,DEF,Abel Luciatti,30,2/18/1993,18-feb,2,1993,178,Morón,Argentina
Velez,DEL,Abiel Osorio,20,6/13/2002,13-jun,6,2002,182,,Argentina
San Lorenzo,DEL,Adam Bareiro,26,7/26/1996,26-jul,7,1996,184,Asuncion,Paraguay
Instituto,DEL,Adrián Martínez,30,7/7/1992,07-jul,7,1992,181,,Argentina
Atl Tucuman,MED,Adrián Sánchez,23,5/14/1999,14-may,5,1999,177,,Argentina
Arsenal,DEF,Adrián Sporle,27,7/13/1995,13-jul,7,1995,178,Centenario,Argentina
Platense,DEL,Agustín Alonso,22,1/23/2001,23-ene,1,2001,,,Argentina
Gimnasia (LP),MED,Agustín Bolivar,27,1/9/1996,09-ene,1,1996,173,Ensenada,Argentina
Tigre,MED,Agustín Cardozo,25,5/30/1997,30-may,5,1997,181,,Argentina
Barracas Central,DEF,Agustín Dattola,24,4/20/1999,20-abr,4,1999,,,Argentina
San Lorenzo,MED,Agustín Giay,19,1/16/2004,16-ene,1,2004,180,San Carlos Centro,Argentina
San Lorenzo,DEF,Agustín Martegani,22,5/20/2000,20-may,5,2000,182,,Argentina
Independiente,MED,Agustín Mulet,23,2/22/2000,22-feb,2,2000,179,,Argentina
Tigre,DEL,Agustín Obando,23,3/11/2000,11-mar,3,2000,172,Monte Caseros,Argentina
River Plate,MED,Agustín Palavecino,26,11/9/1996,09-nov,11,1996,178,Florida,Argentina
Gimnasia (LP),MED,Agustín Sanchez,18,7/20/2004,20-jul,7,2004,,,Argentina
Boca Juniors,DEF,Agustín Sandez,22,1/16/2001,16-ene,1,2001,182,Buenos Aires,Argentina
Def y Justicia,DEF,Agustín SantAnna,25,9/27/1997,27-sep,9,1997,175,,Uruguay
Rosario Central,MED,Agustín Toledo,23,3/1/2000,01-mar,3,2000,,,Argentina
Barracas Central,DEL,Alan Cantero,24,6/28/1998,28-jun,6,1998,,,Argentina
Banfield,DEF,Alan Di Pippa,22,6/16/2000,16-jun,6,2000,179,,Argentina
Talleres (C),MED,Alan Franco,24,8/21/1998,21-ago,8,1998,176,Alfredo Baquerizo Moreno,Ecuador
Gimnasia (LP),MED,Alan Lescano,21,11/11/2001,11-nov,11,2001,182,,Argentina
Argentinos,MED,Alan Rodríguez,23,1/25/2000,25-ene,1,2000,,,Uruguay
Rosario Central,MED,Alan Rodríguez,22,8/15/2000,15-ago,8,2000,173,,Paraguay
Gimnasia (LP),MED,Alan Sosa,19,5/5/2003,05-may,5,2003,,,Argentina
Boca Juniors,MED,Alan Varela,21,7/4/2001,04-jul,7,2001,177,,Argentina
Banfield,MED,Alejandro Cabrera,30,9/30/1992,30-sep,9,1992,185,,Argentina
Sarmiento (J),DEF,Alejandro Donatti,36,10/24/1986,24-oct,10,1986,191,,Argentina
Banfield,DEF,Alejandro Maciel,26,4/22/1997,22-abr,4,1997,183,El Dorado,Argentina
Arsenal,ARQ,Alejandro Medina,36,2/14/1987,14-feb,2,1987,183,Buenos Aires,Argentina
Banfield,DEL,Alejandro Piedrahita,20,9/3/2002,03-sep,9,2002,182,,Colombia
Belgrano,DEF,Alejandro Rébola,34,7/24/1988,24-jul,7,1988,182,,Argentina
Rosario Central,DEL,Alejo Veliz,19,9/19/2003,19-sep,9,2003,186,,Argentina
Tigre,MED,Alexis Castro,28,10/18/1994,18-oct,10,1994,180,CABA,Argentina
Barracas Central,DEL,Alexis Dominguez,26,10/30/1996,30-oct,10,1996,185,Villa de Mayo,Argentina
Atl Tucuman,DEF,Alexis Flores,21,1/11/2002,11-ene,1,2002,181,,Argentina
Argentinos,ARQ,Alexis Martín Arias,30,7/4/1992,04-jul,7,1992,185,Pellegrini,Argentina
Def y Justicia,DEF,Alexis Soto,29,10/20/1993,20-oct,10,1993,172,Avellaneda,Argentina
Gimnasia (LP),MED,Alexis Steimbach,20,7/25/2002,25-jul,7,2002,184,,Argentina
Belgrano,MED,Andrés Amaya,22,4/25/2001,25-abr,4,2001,168,Barrancabermeja,Colombia
Banfield,DEL,Andrés Chávez,32,3/21/1991,21-mar,3,1991,185,Salto,Argentina
