date/time: .11/02/2014.11:45 a.m.
Run 1

time	(V)	V	(V)
0.000000	-5.187686E-2	2.194154E+0	6.022476E-2
0.000063	-7.447069E-2	2.136574E+0	6.216564E-2
0.000125	-9.455410E-2	1.670925E+0	6.216564E-2
0.000188	-1.221688E-1	1.247836E+0	6.151868E-2
0.000250	-1.347209E-1	9.774591E-1	6.216564E-2
0.000313	-1.522939E-1	8.047185E-1	6.281260E-2
0.000375	-1.698669E-1	6.845511E-1	6.345955E-2
0.000438	-1.773981E-1	6.119500E-1	6.345955E-2
0.000500	-1.899503E-1	5.393489E-1	6.345955E-2
0.000563	-2.050128E-1	4.792652E-1	6.345955E-2
0.000625	-2.175650E-1	4.291954E-1	6.216564E-2
0.000688	-2.326275E-1	4.066641E-1	6.216564E-2
0.000750	-2.351379E-1	3.816292E-1	6.216564E-2
0.000813	-2.476901E-1	3.515873E-1	6.216564E-2
0.000875	-2.602422E-1	3.240490E-1	5.957781E-2
0.000938	-2.652630E-1	3.140350E-1	6.022476E-2
0.001000	-2.853464E-1	3.040211E-1	6.022476E-2
0.001063	-2.928777E-1	2.814897E-1	6.151868E-2
0.001125	-3.079403E-1	2.564548E-1	6.216564E-2
0.001188	-3.154716E-1	2.464409E-1	6.216564E-2
0.001250	-3.280237E-1	2.113921E-1	6.281260E-2
0.001313	-3.355550E-1	1.638258E-1	6.151868E-2
0.001375	-3.405758E-1	1.087491E-1	6.087172E-2
0.001438	-3.430862E-1	7.370027E-2	6.345955E-2
0.001500	-3.430862E-1	5.367237E-2	6.410651E-2
0.001563	-3.430862E-1	3.602626E-3	6.345955E-2
0.001625	-3.430862E-1	-5.147409E-2	6.410651E-2
0.001688	-3.380654E-1	-7.901245E-2	6.216564E-2
0.001750	-3.355550E-1	-9.904035E-2	6.216564E-2
0.001813	-3.280237E-1	-1.390961E-1	6.281260E-2
0.001875	-3.230028E-1	-1.791519E-1	6.216564E-2
0.001938	-3.179820E-1	-2.091938E-1	6.087172E-2
0.002000	-3.079403E-1	-2.292217E-1	6.087172E-2
0.002063	-2.953881E-1	-2.592635E-1	6.022476E-2
0.002125	-2.953881E-1	-3.068298E-1	6.022476E-2
0.002188	-2.828360E-1	-3.343681E-1	6.022476E-2
0.002250	-2.702839E-1	-3.518925E-1	6.216564E-2
0.002313	-2.552213E-1	-3.819344E-1	6.151868E-2
0.002375	-2.451796E-1	-4.295006E-1	6.216564E-2
0.002438	-2.326275E-1	-4.670530E-1	6.216564E-2
0.002500	-2.150545E-1	-4.845774E-1	6.410651E-2
0.002563	-1.949711E-1	-5.071087E-1	6.345955E-2
0.002625	-1.773981E-1	-5.496680E-1	6.410651E-2
0.002688	-1.598252E-1	-5.922273E-1	6.345955E-2
0.002750	-1.347209E-1	-6.122552E-1	6.281260E-2
0.002813	-1.171479E-1	-6.397936E-1	6.281260E-2
0.002875	-9.204367E-2	-6.848563E-1	6.216564E-2
0.002938	-7.196027E-2	-7.274156E-1	6.216564E-2
0.003000	-5.187686E-2	-7.699749E-1	6.022476E-2
0.003063	-3.179345E-2	-8.350656E-1	6.022476E-2
0.003125	-9.199624E-3	-9.702539E-1	6.087172E-2
0.003188	8.373356E-3	-1.215596E+0	6.022476E-2
0.003250	2.845676E-2	-1.626167E+0	6.022476E-2
0.003313	5.105059E-2	-2.069285E+0	6.216564E-2
0.003375	6.862357E-2	-2.089313E+0	6.216564E-2
0.003438	7.615485E-2	-1.708783E+0	6.216564E-2
0.003500	9.874868E-2	-1.273176E+0	6.281260E-2
0.003563	1.138112E-1	-9.877783E-1	6.345955E-2
0.003625	1.313842E-1	-8.100307E-1	6.410651E-2
0.003688	1.489572E-1	-7.048842E-1	6.410651E-2
0.003750	1.665302E-1	-6.147587E-1	6.410651E-2
0.003813	1.790823E-1	-5.346471E-1	6.345955E-2
0.003875	1.966553E-1	-4.895843E-1	6.281260E-2
0.003938	2.041866E-1	-4.545355E-1	6.281260E-2
0.004000	2.242700E-1	-4.144797E-1	6.216564E-2
0.004063	2.393325E-1	-3.694170E-1	6.281260E-2
0.004125	2.493742E-1	-3.393751E-1	6.151868E-2
0.004188	2.569055E-1	-3.318646E-1	6.087172E-2
0.004250	2.619263E-1	-3.143402E-1	6.087172E-2
0.004313	2.719681E-1	-2.767879E-1	6.087172E-2
0.004375	2.845202E-1	-2.592635E-1	6.022476E-2
0.004438	2.895410E-1	-2.542565E-1	6.281260E-2
0.004500	2.970723E-1	-2.442426E-1	6.281260E-2
0.004563	3.020932E-1	-2.192077E-1	6.345955E-2
0.004625	3.071140E-1	-1.966763E-1	6.216564E-2
0.004688	3.146453E-1	-1.716415E-1	6.475347E-2
0.004750	3.171557E-1	-1.365927E-1	6.345955E-2
0.004813	3.297078E-1	-8.902640E-2	6.345955E-2
0.004875	3.322183E-1	-3.895665E-2	6.410651E-2
0.004938	3.322183E-1	-6.411322E-3	6.216564E-2
0.005000	3.322183E-1	2.112704E-2	6.216564E-2
0.005063	3.372391E-1	5.867934E-2	6.151868E-2
0.005125	3.347287E-1	1.112526E-1	6.216564E-2
0.005188	3.297078E-1	1.387909E-1	6.216564E-2
0.005250	3.271974E-1	1.638258E-1	6.022476E-2
0.005313	3.171557E-1	2.038816E-1	6.151868E-2
0.005375	3.071140E-1	2.514479E-1	6.151868E-2
0.005438	2.970723E-1	2.789862E-1	6.087172E-2
0.005500	2.845202E-1	3.040211E-1	6.216564E-2
0.005563	2.769889E-1	3.390699E-1	6.216564E-2
0.005625	2.543951E-1	3.816292E-1	6.216564E-2
0.005688	2.418429E-1	4.116710E-1	6.281260E-2
0.005750	2.267804E-1	4.216850E-1	6.475347E-2
0.005813	2.092074E-1	4.592373E-1	6.345955E-2
0.005875	1.966553E-1	4.942861E-1	6.410651E-2
0.005938	1.841032E-1	5.168175E-1	6.410651E-2
0.006000	1.589989E-1	5.593768E-1	6.345955E-2
0.006063	1.439363E-1	5.718942E-1	6.216564E-2
0.006125	1.213425E-1	6.294744E-1	6.216564E-2
0.006188	1.062800E-1	6.695302E-1	6.216564E-2
0.006250	8.619655E-2	7.020755E-1	6.281260E-2
0.006313	6.360272E-2	7.271104E-1	6.087172E-2
0.006375	4.602974E-2	7.972080E-1	6.087172E-2
0.006438	2.092548E-2	8.948440E-1	6.022476E-2
0.006500	-4.178772E-3	1.070088E+0	6.087172E-2
0.006563	-2.175175E-2	1.415569E+0	6.151868E-2
0.006625	-4.183516E-2	1.956323E+0	6.216564E-2
0.006688	-6.944984E-2	2.199161E+0	6.151868E-2
0.006750	-9.204367E-2	1.951316E+0	6.151868E-2
0.006813	-1.071062E-1	1.448115E+0	6.151868E-2
0.006875	-1.271896E-1	1.112647E+0	6.281260E-2
0.006938	-1.422522E-1	9.048580E-1	6.345955E-2
0.007000	-1.522939E-1	7.621592E-1	6.410651E-2
0.007063	-1.698669E-1	6.419918E-1	6.410651E-2
0.007125	-1.849294E-1	5.718942E-1	6.216564E-2
0.007188	-1.949711E-1	5.218245E-1	6.216564E-2
0.007250	-2.025024E-1	4.742582E-1	6.281260E-2
0.007313	-2.175650E-1	4.316989E-1	6.216564E-2
0.007375	-2.326275E-1	4.066641E-1	6.087172E-2
0.007438	-2.401588E-1	3.816292E-1	6.022476E-2
0.007500	-2.602422E-1	3.515873E-1	6.022476E-2
0.007563	-2.702839E-1	3.290560E-1	5.957781E-2
0.007625	-2.778152E-1	3.090281E-1	6.216564E-2
0.007688	-2.928777E-1	3.040211E-1	6.216564E-2
0.007750	-3.104507E-1	2.814897E-1	6.281260E-2
0.007813	-3.154716E-1	2.539513E-1	6.281260E-2
0.007875	-3.230028E-1	2.189025E-1	6.410651E-2
0.007938	-3.280237E-1	1.938676E-1	6.475347E-2
0.008000	-3.305341E-1	1.513084E-1	6.410651E-2
0.008063	-3.355550E-1	9.873514E-2	6.410651E-2
0.008125	-3.355550E-1	5.617586E-2	6.281260E-2
0.008188	-3.380654E-1	2.613401E-2	6.216564E-2
0.008250	-3.355550E-1	-6.411322E-3	6.281260E-2
0.008313	-3.355550E-1	-5.147409E-2	6.281260E-2
0.008375	-3.305341E-1	-8.652291E-2	6.281260E-2
0.008438	-3.280237E-1	-1.090543E-1	6.087172E-2
0.008500	-3.230028E-1	-1.365927E-1	6.087172E-2
0.008563	-3.230028E-1	-1.866624E-1	6.151868E-2
0.008625	-3.179820E-1	-2.116973E-1	6.087172E-2
0.008688	-3.104507E-1	-2.417391E-1	6.216564E-2
0.008750	-2.978986E-1	-2.617670E-1	6.216564E-2
0.008813	-2.928777E-1	-3.018228E-1	6.281260E-2
0.008875	-2.878569E-1	-3.543960E-1	6.216564E-2
0.008938	-2.702839E-1	-3.819344E-1	6.475347E-2
0.009000	-2.527109E-1	-3.944518E-1	6.410651E-2
0.009063	-2.351379E-1	-4.370111E-1	6.410651E-2
0.009125	-2.200754E-1	-4.820739E-1	6.410651E-2
0.009188	-2.075233E-1	-5.071087E-1	6.345955E-2
0.009250	-1.874398E-1	-5.271366E-1	6.216564E-2
0.009313	-1.673564E-1	-5.596820E-1	6.281260E-2
0.009375	-1.397418E-1	-5.947308E-1	6.281260E-2
0.009438	-1.221688E-1	-6.222692E-1	6.216564E-2
0.009500	-1.020854E-1	-6.498075E-1	6.151868E-2
0.009563	-8.200197E-2	-6.898633E-1	6.087172E-2
0.009625	-6.944984E-2	-7.474435E-1	6.087172E-2
0.009688	-4.936643E-2	-7.925063E-1	6.151868E-2
0.009750	-2.175175E-2	-8.651074E-1	6.022476E-2
0.009813	-1.668347E-3	-1.025331E+0	6.216564E-2
0.009875	1.841506E-2	-1.338266E+0	6.281260E-2
0.009938	3.096719E-2	-1.843971E+0	6.216564E-2
0.010000	5.607144E-2	-2.191956E+0	6.281260E-2
0.010063	7.364442E-2	-2.041746E+0	6.345955E-2
0.010125	9.121740E-2	-1.556070E+0	6.410651E-2
0.010188	1.163217E-1	-1.170533E+0	6.410651E-2
0.010250	1.338946E-1	-9.301981E-1	6.410651E-2
0.010313	1.489572E-1	-7.749819E-1	6.216564E-2
0.010375	1.640197E-1	-6.748424E-1	6.216564E-2
0.010438	1.815927E-1	-6.047447E-1	6.151868E-2
0.010500	1.941449E-1	-5.321436E-1	6.216564E-2
0.010563	2.092074E-1	-4.695564E-1	6.151868E-2
0.010625	2.217595E-1	-4.370111E-1	6.087172E-2
0.010688	2.343117E-1	-4.144797E-1	6.022476E-2
0.010750	2.443534E-1	-3.769274E-1	6.087172E-2
0.010813	2.543951E-1	-3.368716E-1	6.087172E-2
0.010875	2.644368E-1	-3.193472E-1	6.281260E-2
0.010938	2.719681E-1	-3.093333E-1	6.216564E-2
0.011000	2.769889E-1	-2.817949E-1	6.281260E-2
0.011063	2.870306E-1	-2.617670E-1	6.216564E-2
0.011125	2.970723E-1	-2.517531E-1	6.410651E-2
0.011188	3.020932E-1	-2.467461E-1	6.410651E-2
0.011250	3.146453E-1	-2.267182E-1	6.410651E-2
0.011313	3.271974E-1	-1.691380E-1	6.345955E-2
0.011375	3.297078E-1	-1.415996E-1	6.345955E-2
0.011438	3.372391E-1	-1.140613E-1	6.216564E-2
0.011500	3.397495E-1	-7.650896E-2	6.151868E-2
0.011563	3.497912E-1	-2.143224E-2	6.216564E-2
0.011625	3.497912E-1	2.112704E-2	6.151868E-2
0.011688	3.472808E-1	4.115493E-2	6.087172E-2
0.011750	3.447704E-1	7.870724E-2	6.022476E-2
0.011813	3.347287E-1	1.237700E-1	6.151868E-2
0.011875	3.347287E-1	1.688328E-1	6.151868E-2
0.011938	3.246870E-1	1.888607E-1	6.216564E-2
0.012000	3.146453E-1	2.189025E-1	6.216564E-2
0.012063	3.020932E-1	2.614618E-1	6.281260E-2
0.012125	2.920515E-1	2.965106E-1	6.281260E-2
0.012188	2.794993E-1	3.190420E-1	6.216564E-2
0.012250	2.669472E-1	3.415734E-1	6.281260E-2
0.012313	2.569055E-1	3.841327E-1	6.410651E-2
0.012375	2.493742E-1	4.216850E-1	6.410651E-2
0.012438	2.318012E-1	4.367059E-1	6.410651E-2
0.012500	2.142283E-1	4.592373E-1	6.151868E-2
0.012563	1.991657E-1	6.645232E-1	6.281260E-2
0.012625	1.891240E-1	5.994326E-1	6.216564E-2
0.012688	1.665302E-1	5.693907E-1	6.216564E-2
0.012750	1.464468E-1	5.894186E-1	6.151868E-2
0.012813	1.263634E-1	6.369849E-1	6.022476E-2
0.012875	9.874868E-2	6.820476E-1	6.087172E-2
0.012938	7.866527E-2	7.095860E-1	5.957781E-2
0.013000	5.607144E-2	7.521453E-1	6.087172E-2
0.013063	3.849846E-2	8.172359E-1	6.216564E-2
0.013125	1.590463E-2	9.374033E-1	6.281260E-2
0.013188	-1.171005E-2	1.150200E+0	6.151868E-2
0.013250	-3.179345E-2	1.555765E+0	6.216564E-2
0.013313	-5.438729E-2	2.041441E+0	6.410651E-2
0.013375	-6.944984E-2	2.139077E+0	6.345955E-2
0.013438	-8.451239E-2	1.808617E+0	6.345955E-2
0.013500	-1.071062E-1	1.332954E+0	6.410651E-2
0.013563	-1.196584E-1	1.030032E+0	6.216564E-2
0.013625	-1.347209E-1	8.472778E-1	6.216564E-2
0.013688	-1.447626E-1	7.221034E-1	6.216564E-2
0.013750	-1.598252E-1	6.169570E-1	6.216564E-2
0.013813	-1.773981E-1	5.493628E-1	6.216564E-2
0.013875	-1.849294E-1	5.017966E-1	6.151868E-2
0.013938	-2.025024E-1	4.617408E-1	6.022476E-2
0.014000	-2.200754E-1	4.141745E-1	6.022476E-2
0.014063	-2.326275E-1	3.841327E-1	6.087172E-2
0.014125	-2.401588E-1	3.666083E-1	6.216564E-2
0.014188	-2.527109E-1	3.465804E-1	6.151868E-2
0.014250	-2.677735E-1	3.165385E-1	6.151868E-2
0.014313	-2.803256E-1	2.864967E-1	6.151868E-2
0.014375	-2.903673E-1	2.789862E-1	6.345955E-2
0.014438	-3.004090E-1	2.689723E-1	6.410651E-2
0.014500	-3.029194E-1	2.514479E-1	6.345955E-2
0.014563	-3.079403E-1	2.264130E-1	6.281260E-2
0.014625	-3.179820E-1	1.813502E-1	6.281260E-2
0.014688	-3.255133E-1	1.437979E-1	6.345955E-2
0.014750	-3.230028E-1	1.012386E-1	6.216564E-2
0.014813	-3.230028E-1	4.866539E-2	6.216564E-2
0.014875	-3.280237E-1	2.363052E-2	6.216564E-2
0.014938	-3.230028E-1	-6.411322E-3	6.151868E-2
0.015000	-3.280237E-1	-4.396363E-2	6.087172E-2
0.015063	-3.355550E-1	-9.152988E-2	6.022476E-2
0.015125	-3.305341E-1	-1.190682E-1	6.087172E-2
0.015188	-3.255133E-1	-1.365927E-1	6.281260E-2
0.015250	-3.204924E-1	-1.766484E-1	6.216564E-2
0.015313	-3.204924E-1	-2.242147E-1	6.151868E-2
0.015375	-3.129611E-1	-2.567600E-1	6.216564E-2
0.015438	-3.004090E-1	-2.767879E-1	6.345955E-2
0.015500	-2.903673E-1	-3.118368E-1	6.410651E-2
