t [s],x [cm],x_err [cm]
0.0,5.1,0.2
0.204,5.4,0.3
0.408,4.0,0.4
0.612,2.7,0.4
0.816,1.2,0.4
1.02,-0.5,0.4
1.224,-2.1,0.4
1.429,-3.8,0.3
1.633,-4.5,0.3
1.837,-5.5,0.2
2.041,-4.1,0.3
2.245,-3.0,0.4
2.449,-1.9,0.4
2.653,0.2,0.4
2.857,1.5,0.4
3.061,2.5,0.4
3.265,3.9,0.3
3.469,4.8,0.2
3.673,4.9,0.2
3.878,3.8,0.3
4.082,3.7,0.4
4.286,1.9,0.4
4.49,-0.1,0.4
4.694,-2.3,0.4
4.898,-3.0,0.4
5.102,-4.4,0.3
5.306,-4.4,0.2
5.51,-5.1,0.3
5.714,-3.7,0.3
5.918,-3.7,0.4
6.122,-1.1,0.4
6.327,0.5,0.4
6.531,2.0,0.4
6.735,3.8,0.4
6.939,4.2,0.3
7.143,4.8,0.2
7.347,4.8,0.3
7.551,3.8,0.4
7.755,2.4,0.4
7.959,0.5,0.4
8.163,-0.6,0.4
8.367,-2.6,0.4
8.571,-3.9,0.4
8.776,-4.3,0.3
8.98,-4.6,0.2
9.184,-4.4,0.3
9.388,-3.4,0.4
9.592,-2.4,0.4
9.796,-0.0,0.4
10.0,1.4,0.4
