Tiempo [años], Población presa, Población depredador
0.000, 184200, 76800
0.030, 182155, 92384
0.060, 175642, 111532
0.090, 164572, 133821
0.120, 149600, 158130
0.150, 132026, 182826
0.180, 113500, 206111
0.210, 95656, 226409
0.240, 79736, 242707
0.270, 66358, 254718
0.300, 55557, 262765
0.330, 47018, 267493
0.360, 40303, 269613
0.390, 34997, 269753
0.420, 30758, 268419
0.450, 27325, 265992
0.480, 24504, 262758
0.510, 22154, 258928
0.540, 20173, 254657
0.570, 18484, 250062
0.600, 17030, 245232
0.630, 15771, 240234
0.660, 14672, 235121
0.690, 13710, 229933
0.720, 12864, 224705
0.750, 12118, 219462
0.780, 11459, 214226
0.810, 10876, 209015
0.840, 10359, 203844
0.870, 9901, 198726
0.900, 9494, 193669
0.930, 9132, 188684
0.960, 8810, 183776
0.990, 8524, 178951
1.020, 8269, 174214
1.050, 8042, 169569
1.080, 7839, 165018
1.110, 7658, 160562
1.140, 7496, 156205
1.170, 7352, 151945
1.200, 7223, 147784
1.230, 7107, 143722
1.260, 7004, 139758
1.290, 6912, 135892
1.320, 6829, 132123
1.350, 6756, 128449
1.380, 6690, 124870
1.410, 6632, 121384
1.440, 6581, 117990
1.470, 6535, 114686
1.500, 6495, 111470
1.530, 6460, 108341
1.560, 6430, 105297
1.590, 6405, 102336
1.620, 6383, 99456
1.650, 6365, 96656
1.680, 6351, 93933
1.710, 6341, 91287
1.740, 6333, 88715
1.770, 6329, 86215
1.800, 6328, 83785
1.830, 6330, 81425
1.860, 6335, 79132
1.890, 6343, 76904
1.920, 6354, 74740
1.950, 6368, 72638
1.980, 6385, 70597
2.010, 6404, 68614
2.040, 6427, 66690
2.070, 6453, 64821
2.100, 6482, 63007
2.130, 6514, 61245
2.160, 6550, 59536
2.190, 6589, 57877
2.220, 6632, 56267
2.250, 6679, 54705
2.280, 6730, 53189
2.310, 6785, 51718
2.340, 6845, 50292
2.370, 6909, 48909
2.400, 6978, 47567
2.430, 7053, 46267
2.460, 7133, 45006
2.490, 7220, 43783
2.520, 7313, 42599
2.550, 7412, 41451
2.580, 7519, 40340
2.610, 7633, 39263
2.640, 7756, 38220
2.670, 7888, 37211
2.700, 8029, 36235
2.730, 8180, 35290
2.760, 8342, 34377
2.790, 8516, 33494
2.820, 8702, 32640
2.850, 8901, 31816
2.880, 9114, 31021
2.910, 9343, 30253
2.940, 9588, 29514
2.970, 9851, 28801
3.000, 10133, 28115
3.030, 10435, 27455
3.060, 10758, 26820
3.090, 11105, 26212
3.120, 11477, 25629
3.150, 11875, 25070
3.180, 12303, 24537
3.210, 12761, 24028
3.240, 13252, 23544
3.270, 13778, 23084
3.300, 14342, 22649
3.330, 14947, 22239
3.360, 15596, 21853
3.390, 16290, 21493
3.420, 17035, 21158
3.450, 17832, 20849
3.480, 18687, 20566
3.510, 19601, 20311
3.540, 20581, 20084
3.570, 21628, 19885
3.600, 22750, 19717
3.630, 23948, 19579
3.660, 25229, 19475
3.690, 26597, 19405
3.720, 28057, 19372
3.750, 29614, 19379
3.780, 31273, 19427
3.810, 33039, 19520
3.840, 34917, 19662
3.870, 36911, 19856
3.900, 39026, 20109
3.930, 41264, 20425
3.960, 43630, 20810
3.990, 46124, 21273
4.020, 48748, 21820
4.050, 51501, 22464
4.080, 54381, 23213
4.110, 57382, 24081
4.140, 60498, 25082
4.170, 63718, 26232
4.200, 67027, 27550
4.230, 70407, 29055
4.260, 73836, 30770
4.290, 77285, 32719
4.320, 80721, 34930
4.350, 84105, 37429
4.380, 87392, 40246
4.410, 90532, 43410
4.440, 93471, 46948
4.470, 96152, 50886
4.500, 98514, 55246
4.530, 100497, 60042
4.560, 102045, 65284
4.590, 103104, 70968
4.620, 103628, 77081
4.650, 103580, 83599
4.680, 102934, 90483
4.710, 101673, 97684
4.740, 99793, 105142
4.770, 97303, 112788
4.800, 94220, 120544
4.830, 90576, 128324
4.860, 86415, 136038
4.890, 81796, 143584
4.920, 76796, 150857
4.950, 71505, 157742
4.980, 66033, 164125
5.010, 60498, 169893
5.040, 55019, 174944
5.070, 49714, 179197
5.100, 44681, 182596
5.130, 39999, 185117
5.160, 35721, 186769
5.190, 31873, 187588
5.220, 28458, 187635
5.250, 25460, 186985
5.280, 22853, 185722
5.310, 20599, 183932
5.340, 18662, 181699
5.370, 17001, 179100
5.400, 15579, 176205
5.430, 14364, 173077
5.460, 13324, 169769
5.490, 12433, 166326
5.520, 11670, 162786
5.550, 11013, 159183
5.580, 10448, 155542
5.610, 9960, 151886
5.640, 9538, 148234
5.670, 9172, 144599
5.700, 8854, 140994
5.730, 8576, 137429
5.760, 8334, 133912
5.790, 8123, 130449
5.820, 7937, 127045
5.850, 7774, 123703
5.880, 7632, 120428
5.910, 7506, 117219
5.940, 7397, 114080
5.970, 7300, 111012
6.000, 7216, 108014
6.030, 7143, 105087
6.060, 7079, 102231
6.090, 7024, 99445
6.120, 6978, 96730
6.150, 6938, 94083
6.180, 6905, 91505
6.210, 6879, 88995
6.240, 6858, 86551
6.270, 6843, 84172
6.300, 6833, 81857
6.330, 6827, 79605
6.360, 6827, 77415
6.390, 6831, 75285
6.420, 6840, 73214
6.450, 6853, 71201
6.480, 6871, 69244
6.510, 6893, 67343
6.540, 6919, 65496
6.570, 6950, 63701
6.600, 6985, 61958
6.630, 7025, 60265
6.660, 7070, 58621
6.690, 7120, 57026
6.720, 7174, 55477
6.750, 7234, 53973
6.780, 7300, 52515
6.810, 7371, 51099
6.840, 7449, 49726
6.870, 7533, 48395
6.900, 7623, 47104
6.930, 7721, 45852
6.960, 7827, 44639
6.990, 7940, 43463
7.020, 8062, 42325
7.050, 8194, 41222
7.080, 8335, 40154
7.110, 8486, 39120
7.140, 8648, 38121
7.170, 8822, 37153
7.200, 9009, 36219
7.230, 9209, 35315
7.260, 9424, 34443
7.290, 9654, 33600
7.320, 9901, 32788
7.350, 10165, 32005
7.380, 10448, 31250
7.410, 10752, 30524
7.440, 11077, 29826
7.470, 11425, 29155
7.500, 11799, 28511
7.530, 12199, 27895
7.560, 12628, 27305
7.590, 13088, 26742
7.620, 13580, 26205
7.650, 14108, 25694
7.680, 14673, 25210
7.710, 15279, 24752
7.740, 15928, 24321
7.770, 16624, 23917
7.800, 17369, 23540
7.830, 18166, 23190
7.860, 19020, 22868
7.890, 19934, 22575
7.920, 20913, 22311
7.950, 21959, 22077
7.980, 23079, 21875
8.010, 24275, 21705
8.040, 25554, 21569
