t [s],x [cm],x_err [cm]
0.0,4.9,0.1
0.204,5.0,0.2
0.408,4.5,0.2
0.612,3.7,0.3
0.816,2.1,0.3
1.02,0.5,0.3
1.224,-1.2,0.3
1.429,-2.1,0.3
1.633,-3.7,0.2
1.837,-4.7,0.2
2.041,-4.9,0.1
2.245,-5.1,0.1
2.449,-4.2,0.2
2.653,-3.9,0.2
2.857,-3.0,0.3
3.061,-0.5,0.3
3.265,0.2,0.3
3.469,1.5,0.3
3.673,2.3,0.3
3.878,3.7,0.2
4.082,4.6,0.2
4.286,4.9,0.1
4.49,4.7,0.1
4.694,4.4,0.2
4.898,3.1,0.2
5.102,2.4,0.3
5.306,0.6,0.3
5.51,-1.2,0.3
5.714,-2.0,0.3
5.918,-3.3,0.2
6.122,-4.0,0.2
6.327,-4.7,0.1
6.531,-4.7,0.1
6.735,-4.7,0.2
6.939,-3.7,0.2
7.143,-2.5,0.3
7.347,-1.7,0.3
7.551,-0.8,0.3
7.755,0.7,0.3
7.959,2.4,0.3
8.163,3.4,0.2
8.367,4.2,0.2
8.571,4.7,0.1
8.776,4.7,0.1
8.98,4.0,0.2
9.184,3.4,0.2
9.388,2.2,0.3
9.592,1.5,0.3
9.796,-0.4,0.3
10.0,-1.9,0.3
