"","Gene","Gene_id","Disease","Disease_id","Score_gda","Association_Type"
"1","AVP",551,"Amnesia","C0002622",0.3,"Therapeutic"
"2","IL6",3569,"Amnesia","C0002622",0.31,"Therapeutic"
"3","HRH3",11255,"Amnesia","C0002622",0.51,"Biomarker"
"4","IL2",3558,"Amnesia","C0002622",0.3,"Biomarker"
"5","POMC",5443,"Amnesia","C0002622",0.3,"Biomarker"
"6","IL1A",3552,"Amnesia","C0002622",0.3,"Therapeutic"
"7","TRH",7200,"Amnesia","C0002622",0.3,"Therapeutic"
"8","TAC1",6863,"Amnesia","C0002622",0.3,"Therapeutic"
"9","GRP",2922,"Amnesia","C0002622",0.3,"Therapeutic"
"11","GNAI1",2770,"Amnesia","C0002622",0.3,"Biomarker"
"12","NGF",4803,"Amnesia","C0002622",0.31,"Therapeutic"
"13","GNAI3",2773,"Amnesia","C0002622",0.3,"Biomarker"
"15","PDYN",5173,"Amnesia","C0002622",0.3,"Therapeutic"
"17","SIGMAR1",10280,"Amnesia","C0002622",0.31,"Therapeutic"
"19","APP",351,"Amnesia","C0002622",0.4,"Biomarker"
"20","PREP",5550,"Amnesia","C0002622",0.3,"Biomarker"
"22","CSF2",1437,"Amnesia","C0002622",0.31,"Therapeutic"
"23","PREP",5550,"Retrograde amnesia","C0002624",0.3,"Biomarker"
"24","SLC6A4",6532,"Anxiety","C0003467",0.5,"Biomarker"
"26","FOXP2",93986,"Apraxias","C0003635",0.32,"Biomarker"
"27","BCL11A",53335,"Apraxias","C0003635",0.31,"Biomarker"
"29","VSX1",30813,"Auditory Perceptual Disorders","C0004310",0.3,"Biomarker"
"30","CHRNA7",1139,"Auditory Perceptual Disorders","C0004310",0.3,"Therapeutic"
"31","CHRM4",1132,"Catatonia","C0007398",0.3,"Therapeutic"
"32","TRPV4",59341,"Confusion","C0009676",0.3,"Biomarker"
"33","TH",7054,"Delirium","C0011206",0.31,"Biomarker"
"34","LIF",3976,"Delirium","C0011206",0.3,"Biomarker"
"35","DRD3",1814,"Delirium","C0011206",0.32,"Biomarker"
"36","SLC6A3",6531,"Delirium","C0011206",0.36,"Biomarker"
"39","CXCL8",3576,"Delirium","C0011206",0.34,"Biomarker"
"42","IGF1",3479,"Delirium","C0011206",0.36,"Biomarker"
"43","IL6",3569,"Delirium","C0011206",0.4,"Biomarker"
"44","APOE",348,"Delirium","C0011206",0.4,"Biomarker"
"56","DRD2",1813,"Delirium","C0011206",0.32,"Biomarker"
"57","IL1RN",3557,"Delirium","C0011206",0.32,"Biomarker"
"64","TAC1",6863,"Mental Depression","C0011570",0.4,"Biomarker"
"65","SLC18A2",6571,"Mental Depression","C0011570",0.36,"Biomarker"
"66","HDAC2",3066,"Mental Depression","C0011570",0.33,"Biomarker"
"67","HTR3A",3359,"Mental Depression","C0011570",0.35,"Biomarker"
"68","REN",5972,"Mental Depression","C0011570",0.39,"Biomarker"
"69","OPRK1",4986,"Mental Depression","C0011570",0.4,"Biomarker"
"70","SLC1A2",6506,"Mental Depression","C0011570",0.33,"Biomarker"
"71","CDH13",1012,"Mental Depression","C0011570",0.31,"Biomarker"
"72","TTR",7276,"Mental Depression","C0011570",0.32,"Biomarker"
"73","ATXN3",4287,"Mental Depression","C0011570",0.33,"Biomarker"
"74","S100B",6285,"Mental Depression","C0011570",0.6,"Biomarker"
"75","AR",367,"Mental Depression","C0011570",0.4,"Biomarker"
"76","GH1",2688,"Mental Depression","C0011570",0.32,"Biomarker"
"77","NR3C2",4306,"Mental Depression","C0011570",0.4,"Biomarker"
"78","DGKB",1607,"Mental Depression","C0011570",0.3,"Biomarker"
"79","TNF",7124,"Mental Depression","C0011570",0.4,"Biomarker"
"80","GRID1",2894,"Mental Depression","C0011570",0.3,"Biomarker"
"81","PDE1B",5153,"Mental Depression","C0011570",0.32,"Biomarker"
"82","CRHR2",1395,"Mental Depression","C0011570",0.52,"Biomarker"
"84","ADRB1",153,"Mental Depression","C0011570",0.31,"Biomarker"
"85","GRM7",2917,"Mental Depression","C0011570",0.33,"Biomarker"
