Timestamp,¿Que día/horarios te conviene? [Lunes],¿Que día/horarios te conviene? [Martes],¿Que día/horarios te conviene? [Miercoles],¿Que día/horarios te conviene? [Jueves],¿Que día/horarios te conviene? [Viernes],¿Cuantos sabes de programación?,¿Tenes algún tema o librería en particular que te gustaría aprender?(esta pregunta es opcional)
29/03/2020 18:04:09,Mañana(1030-1330),Mañana(1030-1330),Mañana(1030-1330),Mañana(1030-1330),Mañana(1030-1330),3,
29/03/2020 18:09:10,Tarde(1330-1630),Tarde(1330-1630),Tarde(1330-1630),Tarde(1330-1630),Tarde(1330-1630),1,
29/03/2020 18:21:25,Mañana(1030-1330),Mañana(1030-1330),Mañana(1030-1330),Mañana(1030-1330),Mañana(1030-1330),1,
29/03/2020 18:22:11,"Mañana(1030-1330), Tarde(1330-1630), Noche(1730-2030)","Mañana(1030-1330), Tarde(1330-1630), Noche(1730-2030)","Mañana(1030-1330), Tarde(1330-1630), Noche(1730-2030)","Mañana(1030-1330), Tarde(1330-1630), Noche(1730-2030)","Mañana(1030-1330), Tarde(1330-1630), Noche(1730-2030)",3,Programación orientada a objetos 
29/03/2020 18:34:15,Noche(1730-2030),Noche(1730-2030),Noche(1730-2030),Noche(1730-2030),Noche(1730-2030),1,
29/03/2020 18:37:20,Mañana(1030-1330),Mañana(1030-1330),"Mañana(1030-1330), Tarde(1330-1630), Noche(1730-2030)",Ninguna,"Mañana(1030-1330), Tarde(1330-1630), Noche(1730-2030)",3,
29/03/2020 18:42:00,Noche(1730-2030),Tarde(1330-1630),Noche(1730-2030),Tarde(1330-1630),Tarde(1330-1630),3,Paquetes de estadística y gráficos con errores
29/03/2020 18:48:44,Mañana(1030-1330),Mañana(1030-1330),Mañana(1030-1330),Mañana(1030-1330),Mañana(1030-1330),5,
29/03/2020 18:49:28,Ninguna,Ninguna,Mañana(1030-1330),Mañana(1030-1330),Ninguna,1,
29/03/2020 19:10:40,Mañana(1030-1330),Mañana(1030-1330),Mañana(1030-1330),Mañana(1030-1330),Mañana(1030-1330),6,
29/03/2020 19:35:50,Noche(1730-2030),Noche(1730-2030),Noche(1730-2030),Noche(1730-2030),Noche(1730-2030),2,
29/03/2020 19:42:12,Tarde(1330-1630),Tarde(1330-1630),Tarde(1330-1630),Tarde(1330-1630),Tarde(1330-1630),6,Algoritmo de Verlet
29/03/2020 19:44:27,Mañana(1030-1330),Mañana(1030-1330),Noche(1730-2030),"Mañana(1030-1330), Tarde(1330-1630), Noche(1730-2030)",Noche(1730-2030),4,
29/03/2020 20:09:30,Ninguna,Tarde(1330-1630),Ninguna,Tarde(1330-1630),Ninguna,4,
29/03/2020 20:29:19,Noche(1730-2030),Noche(1730-2030),Noche(1730-2030),Noche(1730-2030),Noche(1730-2030),9,
29/03/2020 20:59:39,Noche(1730-2030),Noche(1730-2030),Noche(1730-2030),Noche(1730-2030),Noche(1730-2030),1,
29/03/2020 21:43:18,Mañana(1030-1330),Mañana(1030-1330),Mañana(1030-1330),Mañana(1030-1330),Mañana(1030-1330),3,
29/03/2020 21:46:11,"Mañana(1030-1330), Tarde(1330-1630), Noche(1730-2030)","Mañana(1030-1330), Tarde(1330-1630), Noche(1730-2030)","Mañana(1030-1330), Tarde(1330-1630), Noche(1730-2030)","Mañana(1030-1330), Tarde(1330-1630), Noche(1730-2030)","Mañana(1030-1330), Tarde(1330-1630), Noche(1730-2030)",5,
29/03/2020 21:53:13,Tarde(1330-1630),Tarde(1330-1630),Tarde(1330-1630),Tarde(1330-1630),Tarde(1330-1630),1,
29/03/2020 22:13:33,Noche(1730-2030),Noche(1730-2030),Noche(1730-2030),Noche(1730-2030),Noche(1730-2030),4,lo necesario para aplicar en física
29/03/2020 22:20:54,"Mañana(1030-1330), Noche(1730-2030)","Mañana(1030-1330), Noche(1730-2030)",Noche(1730-2030),"Mañana(1030-1330), Noche(1730-2030)","Mañana(1030-1330), Noche(1730-2030)",1,
29/03/2020 22:51:49,"Mañana(1030-1330), Tarde(1330-1630)",Ninguna,"Mañana(1030-1330), Tarde(1330-1630)","Mañana(1030-1330), Tarde(1330-1630)","Mañana(1030-1330), Tarde(1330-1630)",1,
29/03/2020 23:09:50,Mañana(1030-1330),Mañana(1030-1330),Mañana(1030-1330),Mañana(1030-1330),Mañana(1030-1330),2,
29/03/2020 23:57:01,Noche(1730-2030),Noche(1730-2030),Noche(1730-2030),Noche(1730-2030),Noche(1730-2030),1,
30/03/2020 01:51:46,Tarde(1330-1630),"Tarde(1330-1630), Noche(1730-2030)",Tarde(1330-1630),"Tarde(1330-1630), Noche(1730-2030)","Tarde(1330-1630), Noche(1730-2030)",5,
30/03/2020 03:47:13,Noche(1730-2030),Noche(1730-2030),Noche(1730-2030),Noche(1730-2030),Noche(1730-2030),4,
30/03/2020 04:35:31,"Mañana(1030-1330), Tarde(1330-1630), Noche(1730-2030)","Mañana(1030-1330), Tarde(1330-1630), Noche(1730-2030)","Mañana(1030-1330), Tarde(1330-1630), Noche(1730-2030)","Mañana(1030-1330), Tarde(1330-1630), Noche(1730-2030)","Mañana(1030-1330), Tarde(1330-1630), Noche(1730-2030)",2,
30/03/2020 07:17:40,Tarde(1330-1630),Ninguna,Tarde(1330-1630),Ninguna,Tarde(1330-1630),2,
30/03/2020 09:26:26,"Mañana(1030-1330), Tarde(1330-1630), Noche(1730-2030)",Mañana(1030-1330),Mañana(1030-1330),"Mañana(1030-1330), Tarde(1330-1630), Noche(1730-2030)","Mañana(1030-1330), Tarde(1330-1630), Noche(1730-2030)",7,
30/03/2020 10:48:18,Noche(1730-2030),"Tarde(1330-1630), Noche(1730-2030)","Tarde(1330-1630), Noche(1730-2030)",Noche(1730-2030),"Tarde(1330-1630), Noche(1730-2030)",6,
30/03/2020 10:51:12,Tarde(1330-1630),Tarde(1330-1630),Tarde(1330-1630),Tarde(1330-1630),Tarde(1330-1630),7,
30/03/2020 10:57:47,Noche(1730-2030),Noche(1730-2030),Noche(1730-2030),Noche(1730-2030),Noche(1730-2030),5,
30/03/2020 11:12:31,Tarde(1330-1630),Tarde(1330-1630),Tarde(1330-1630),Tarde(1330-1630),Tarde(1330-1630),2,
30/03/2020 12:12:11,Noche(1730-2030),Noche(1730-2030),Noche(1730-2030),Noche(1730-2030),Noche(1730-2030),1,
