0	0   1	2	3	4	5	6	7	8	9	10
0	0.94	0.92	0.9	0.895	0.903	0.91	0.9	0.89	0.92	0.95	0.93
2	1.292	1.301	1.306	1.326	1.323	1.328	1.327	1.336	1.353	1.365	1.372
4	1.805	1.815	1.838	1.838	1.843	1.845	1.86	1.862	1.855	1.815	1.815
6	2.15	2.19	2.16	2.26	2.3	2.31	2.31	2.35	2.34	2.31	2.3
8	2.91	2.91	2.88	2.83	2.82	2.8	2.81	2.83	2.83	2.85	2.81
11	3.78	3.78	3.76	3.7	3.71	3.67	3.66	3.65	3.64	3.68	3.68
14	4.71	4.69	4.65	4.6	4.56	4.56	4.58	4.56	4.58	4.6	4.6
17	5.62	5.58	5.57	5.5	5.51	5.47	5.48	5.45	5.51	5.52	5.5
19	6.28	6.2	6.17	6.18	6.15	6.12	6.13	6.1	6.15	6.17	6.18
21	6.91	6.82	6.78	6.75	6.74	6.76	6.76	6.78	6.79	6.79	6.82
23	7.5	7.48	7.42	7.43	7.38	7.34	7.33	7.38	7.42	7.51	7.6
25	8.2	8.18	8.16	8.17	8.12	8.06	8.04	8.02	8.03	8.06	8.2
27	8.86	8.9	8.87	8.8	8.76	8.76	8.78	8.8	8.8	8.84	8.92
29	9.41	9.41	9.41	9.39	9.4	9.43	9.44	9.39	9.42	9.46	9.51
