"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Aruba","ABW","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17342.4719395745","16441.3812596351","16586.1922970903","17927.4120263906","19081.570288414","19356.4208651472","20619.5658496388","20671.545738502","20433.6541088167","20834.9397101237","22566.6821576324","23302.8319880055","24015.4206122701","25921.5382341406","27549.8894224976","24640.4212441218","24289.1415161326","25353.7875446441","","","","",
"Andorra","AND","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","3238.09148925914","3497.91027902321","4217.40295633309","5343.11836912432","6320.97183409658","7168.39961013877","7151.57043433635","7751.16735128596","9127.60883965529","11819.6490624917","12377.7159313411","10372.3266170866","9611.23967601089","8023.34642612295","7729.32410836312","7775.02696439627","10362.1668362391","12615.0511153017","14305.2085040033","15166.9137458039","18876.7292791845","19530.8435047204","20541.7738959473","16508.8752202349","16226.971079738","18460.007428295","19038.7988311469","18405.3200974733","18969.9779859045","19323.8925471569","21432.9600712136","21897.6629394768","24175.3727542522","31742.9925847537","37235.4500323146","39990.3304085679","42417.2291456984","47253.5297963111","46735.9995745016","42701.447136255","39639.386021211","41630.0525792977","39666.3692147448","42806.5225532934","","",
"Afghanistan","AFG","GDP per capita (current US$)","NY.GDP.PCAP.CD","59.7876807071726","59.8900369372405","58.5059950140526","78.8025868555084","82.2313945581436","101.321627084019","137.946782875667","161.3847017598","129.562318448447","129.857378169357","157.258460767554","160.443151792961","136.175611348868","144.173944406858","175.027097741097","188.085136087016","199.164809324072","226.196426673541","249.573709822237","278.390625171824","275.649828132249","267.662423622744","","","","","","","","","","","","","","","","","","","","119.899037111574","192.153528278789","203.651040923182","224.914712193371","257.175794656273","280.245644106914","380.400955186598","384.131681276839","458.955781585831","569.940728793286","622.379654358451","690.842629014956","661.969562029683","658.981812603181","",
"Angola","AGO","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","684.096838422518","665.090402412948","648.148292181102","632.216914129011","924.129691621618","898.64457438845","996.199362454822","477.018123602757","430.685226631834","320.94219226205","386.38903945352","560.636979115993","554.155243633932","454.269348869465","421.375845707465","606.269625153126","574.195158915964","775.765479447987","850.075697119516","1135.60536266505","1576.16204711766","2253.83963358684","3151.02067491963","4242.3656535552","3678.9492001942","3886.47849419391","4744.98510381311","5084.34648572557","5295.21089646707","5423.60973519437","",
"Albania","ALB","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","662.520052309054","662.914792567128","719.157295703914","699.384292086697","676.566732520011","723.409610237851","639.463899289892","348.711327024676","218.492162347986","380.527371084275","619.064922738647","760.559358246866","951.132091437492","697.594564685119","871.893653940417","1104.74355302782","1193.46622313098","1336.85914136211","1458.32804719795","1859.55235195218","2466.00507977909","2781.57214420532","3051.76764036292","3603.01355988811","4370.5399247769","4114.13489916342","4094.36020359235","4437.8117250371","4256.01670203254","4458.07320707594","4619.21125800122","",
"Arab World","ARB","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","222.200810015786","238.472154656351","255.975399908264","289.205211586521","335.361504076482","414.644352134906","769.330698797867","827.164488215337","997.773972409181","1112.86047795189","1190.36243897744","1553.16631811726","2046.02575069296","2041.10392446621","1844.24998185974","1677.9355514291","1651.13739142657","1581.27010148949","1461.55735263783","1536.91471998266","1469.05510453838","1498.85776799991","2000.00365611293","1914.31880930301","2012.99634318195","1983.83165038537","1978.18785099014","2059.872934462","2224.02742617173","2307.46498563088","2178.60355195","2323.32195825925","2597.3823828559","2502.502713609","2469.68228235902","2728.40156085865","3130.38089600595","3763.0762937501","4358.31944369999","4974.17124937858","6160.29879798983","5204.01368712912","5949.41461721786","6900.38109397447","7442.14459305827","7540.46004348981","7412.52123765875","",
"United Arab Emirates","ARE","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","27708.7195243665","30886.5717390694","34407.9812602701","28735.8033682727","33673.4193770401","42878.8544213734","45131.3357281376","40244.8374937825","35135.8686752241","32655.3719082129","30067.1341943988","23727.6988222675","23953.3405689773","22476.9714947199","24218.5527705875","27989.3012966889","26945.6591464759","26864.1881075461","26141.3306464453","26495.8215612079","27973.7428158486","29813.3723096431","30378.5453428093","27681.3112821317","29278.7694180685","34207.5398813414","32105.6487406813","32355.4104782613","34294.8949314302","37179.6829043449","40298.5242178562","42950.1005841305","42913.7840342254","45720.0178983596","32905.053849322","34341.9112913748","39778.4897120955","41587.5128060251","44506.7635936771","44204.318597088","",
"Argentina","ARG","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","1148.57995706663","845.076988780167","1166.31755895322","1272.01055313362","1266.34504452354","1057.75575378133","1136.51807654747","1324.08265429964","1317.48753515726","1366.35455823516","1401.48773800005","2083.97221814273","2824.65102531694","2011.68904032295","1932.59070908325","2112.50101617933","2129.31371505255","2501.48111430392","2738.2846257575","2756.39678818613","2907.75742643498","3530.13166329231","2643.36913309587","2909.5168016203","3595.08613124574","3546.71882015564","3969.32766134127","2375.3392499715","4318.77456755511","5715.50423202955","6797.75281363428","6940.69875771043","7449.48060533628","7373.42740288005","7683.57384790824","8172.66523534306","8248.76471990265","7736.37257792733","7669.27370858434","7170.68969819357","2693.10601949772","3382.90081240977","4732.80370917799","5694.41924875639","6649.41353400338","8250.24468400083","10054.1117717481","9277.42594502683","11227.8384960848","13439.9414563004","14436.6000905096","14623.4786851728","12568.5698152797","",
"Armenia","ARM","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","636.680689996499","589.002948223927","368.916836793393","356.507351442189","399.751202522265","455.550276086151","503.231969620213","522.522072040184","608.336648730809","596.505996304047","621.424826318947","692.301630888896","779.829626131555","924.464009817761","1181.9684454224","1625.40776912682","2126.61866107184","3080.97095943572","3919.97547381061","2915.5839059087","3124.78401786195","3417.17183599915","3343.43763487103","3486.14563646973","3619.77631865731","",
"American Samoa","ASM","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","941.919930454288","1061.66043900776","1307.39641279195","1565.64863547914","1784.41520809846","2000.75198572204","2255.3690170917","2595.02427421436","3070.43927047236","3806.14955426997","4512.53967952176","5415.84780956705","6025.84758192516","6325.24090483941","6575.48038263731","6680.37575242046","7037.93902963406","7514.48354706237","7230.32050882325","7702.67014760284","8027.63098919176","8355.61849563092","8572.37332938458","10094.758886369","9797.9685397356","10027.8560434856","10382.6307170906","10993.3690531169","12079.8656950416","13599.908857304","15276.0682646698","15786.1728395062","13979.2626925883","13017.3103875487","12817.8415733094","13525.616220134","13342.0849977054","13961.683575765","",
