Month	Price[USD]	Change[%]
Oct 1985	185.53	-
Nov 1985	185.62	0.05 
Dec 1985	191.71	3.28 
Jan 1986	196.92	2.72 
Feb 1986	193.50	-1.74 
Mar 1986	196.46	1.53 
Apr 1986	194.07	-1.22 
May 1986	196.07	1.03 
Jun 1986	194.10	-1.00 
Jul 1986	193.64	-0.24 
Aug 1986	183.44	-5.27 
Sep 1986	177.77	-3.09 
Oct 1986	177.01	-0.43 
Nov 1986	183.67	3.76 
Dec 1986	180.75	-1.59 
Jan 1987	182.22	0.81 
Feb 1987	179.88	-1.28 
Mar 1987	179.95	0.04 
Apr 1987	188.56	4.78 
May 1987	203.21	7.77 
Jun 1987	205.81	1.28 
Jul 1987	198.60	-3.50 
Aug 1987	190.83	-3.91 
Sep 1987	192.76	1.01 
Oct 1987	197.84	2.64 
Nov 1987	207.46	4.86 
Dec 1987	218.95	5.54 
Jan 1988	227.47	3.89 
Feb 1988	227.35	-0.05 
Mar 1988	230.80	1.52 
Apr 1988	246.94	6.99 
May 1988	269.86	9.28 
Jun 1988	344.37	27.61 
Jul 1988	322.14	-6.46 
Aug 1988	312.44	-3.01 
Sep 1988	311.82	-0.20 
Oct 1988	291.25	-6.60 
Nov 1988	281.53	-3.34 
Dec 1988	290.72	3.26 
Jan 1989	292.76	0.70 
Feb 1989	280.50	-4.19 
Mar 1989	286.01	1.96 
Apr 1989	270.99	-5.25 
May 1989	264.12	-2.54 
Jun 1989	254.82	-3.52 
Jul 1989	251.01	-1.50 
Aug 1989	220.60	-12.12 
Sep 1989	213.55	-3.20 
Oct 1989	206.41	-3.34 
Nov 1989	211.62	2.52 
Dec 1989	211.46	-0.08 
Jan 1990	209.83	-0.77 
Feb 1990	208.45	-0.66 
Mar 1990	218.28	4.72 
Apr 1990	220.67	1.09 
May 1990	228.32	3.47 
Jun 1990	221.06	-3.18 
Jul 1990	222.46	0.63 
Aug 1990	222.71	0.11 
Sep 1990	226.92	1.89 
Oct 1990	224.80	-0.93 
Nov 1990	211.85	-5.76 
Dec 1990	213.87	0.95 
Jan 1991	207.51	-2.97 
Feb 1991	210.13	1.26 
Mar 1991	213.32	1.52 
Apr 1991	215.89	1.20 
May 1991	210.65	-2.43 
Jun 1991	208.86	-0.85 
Jul 1991	199.10	-4.67 
Aug 1991	208.08	4.51 
Sep 1991	216.24	3.92 
Oct 1991	205.74	-4.86 
Nov 1991	205.67	-0.03 
Dec 1991	204.15	-0.74 
Jan 1992	208.61	2.18 
Feb 1992	211.16	1.22 
Mar 1992	216.14	2.36 
Apr 1992	211.30	-2.24 
May 1992	220.37	4.29 
Jun 1992	224.39	1.82 
Jul 1992	208.10	-7.26 
Aug 1992	202.87	-2.51 
Sep 1992	202.89	0.01 
Oct 1992	197.68	-2.57 
Nov 1992	205.21	3.81 
Dec 1992	208.91	1.80 
Jan 1993	212.33	1.64 
Feb 1993	210.03	-1.08 
Mar 1993	214.12	1.95 
Apr 1993	217.68	1.66 
May 1993	221.49	1.75 
Jun 1993	221.91	0.19 
Jul 1993	258.84	16.64 
Aug 1993	246.64	-4.71 
Sep 1993	236.06	-4.29 
Oct 1993	226.09	-4.22 
Nov 1993	243.93	7.89 
Dec 1993	252.52	3.52 
Jan 1994	255.60	1.22 
Feb 1994	249.68	-2.32 
Mar 1994	250.55	0.35 
Apr 1994	242.76	-3.11 
May 1994	250.23	3.08 
Jun 1994	249.61	-0.25 
Jul 1994	223.24	-10.56 
Aug 1994	214.10	-4.09 
Sep 1994	207.88	-2.91 
Oct 1994	198.71	-4.41 
Nov 1994	205.39	3.36 
Dec 1994	206.38	0.48 
Jan 1995	202.50	-1.88 
Feb 1995	203.65	0.57 
Mar 1995	209.35	2.80 
Apr 1995	211.27	0.92 
May 1995	211.64	0.18 
Jun 1995	216.65	2.37 
Jul 1995	226.92	4.74 
Aug 1995	218.92	-3.53 
Sep 1995	232.59	6.24 
Oct 1995	240.99	3.61 
Nov 1995	249.74	3.63 
Dec 1995	263.96	5.69 
Jan 1996	270.12	2.33 
Feb 1996	268.26	-0.69 
Mar 1996	265.78	-0.92 
Apr 1996	290.42	9.27 
May 1996	295.52	1.76 
Jun 1996	284.61	-3.69 
Jul 1996	288.77	1.46 
Aug 1996	296.30	2.61 
Sep 1996	297.49	0.40 
Oct 1996	259.80	-12.67 
Nov 1996	255.28	-1.74 
Dec 1996	257.16	0.74 
Jan 1997	268.10	4.25 
Feb 1997	280.54	4.64 
Mar 1997	305.88	9.03 
Apr 1997	313.36	2.45 
May 1997	319.84	2.07 
Jun 1997	304.77	-4.71 
Jul 1997	281.16	-7.75 
Aug 1997	267.59	-4.83 
Sep 1997	255.21	-4.63 
Oct 1997	250.75	-1.75 
Nov 1997	265.43	5.85 
Dec 1997	254.59	-4.08 
Jan 1998	246.00	-3.37 
Feb 1998	247.42	0.58 
Mar 1998	240.12	-2.95 
Apr 1998	235.09	-2.09 
May 1998	236.15	0.45 
Jun 1998	231.12	-2.13 
Jul 1998	232.43	0.57 
Aug 1998	202.25	-12.98 
Sep 1998	193.34	-4.41 
Oct 1998	200.76	3.84 
Nov 1998	209.90	4.55 
Dec 1998	204.91	-2.38 
Jan 1999	195.04	-4.82 
