date/time: .11/02/2014.11:45 a.m.
Run 1

time	(V)	V	(V)
0.000000	3.020932E-1	-2.342287E-1	6.475347E-2
0.000063	3.071140E-1	-2.442426E-1	6.345955E-2
0.000125	3.146453E-1	-2.217112E-1	6.216564E-2
0.000188	3.246870E-1	-1.691380E-1	6.151868E-2
0.000250	3.347287E-1	-1.265787E-1	6.216564E-2
0.000313	3.347287E-1	-9.152988E-2	6.281260E-2
0.000375	3.422600E-1	-5.147409E-2	6.216564E-2
0.000438	3.447704E-1	-1.404348E-3	6.151868E-2
0.000500	3.472808E-1	3.364447E-2	6.022476E-2
0.000563	3.372391E-1	5.367237E-2	6.087172E-2
0.000625	3.347287E-1	9.372816E-2	6.022476E-2
0.000688	3.297078E-1	1.463014E-1	6.216564E-2
0.000750	3.221766E-1	1.813502E-1	6.216564E-2
0.000813	3.121349E-1	2.038816E-1	6.216564E-2
0.000875	2.995827E-1	2.264130E-1	6.216564E-2
0.000938	2.970723E-1	2.689723E-1	6.410651E-2
0.001000	2.870306E-1	3.065246E-1	6.475347E-2
0.001063	2.769889E-1	3.315594E-1	6.410651E-2
0.001125	2.594159E-1	3.490839E-1	6.345955E-2
0.001188	2.493742E-1	3.891396E-1	6.216564E-2
0.001250	2.368221E-1	4.191815E-1	6.216564E-2
0.001313	2.242700E-1	4.467198E-1	6.151868E-2
0.001375	2.117178E-1	4.742582E-1	6.151868E-2
0.001438	1.916344E-1	5.168175E-1	6.216564E-2
0.001500	1.765719E-1	6.419918E-1	6.087172E-2
0.001563	1.539780E-1	6.369849E-1	6.151868E-2
0.001625	1.263634E-1	6.194605E-1	6.022476E-2
0.001688	1.062800E-1	6.495023E-1	6.087172E-2
0.001750	8.870698E-2	6.920616E-1	6.345955E-2
0.001813	6.611315E-2	7.321174E-1	6.281260E-2
0.001875	4.100889E-2	7.721732E-1	6.151868E-2
0.001938	1.841506E-2	8.572917E-1	6.216564E-2
0.002000	8.420790E-4	1.032536E+0	6.410651E-2
0.002063	-2.175175E-2	1.370507E+0	6.475347E-2
0.002125	-4.685601E-2	1.876211E+0	6.345955E-2
0.002188	-5.689771E-2	2.164112E+0	6.345955E-2
0.002250	-7.447069E-2	1.966337E+0	6.216564E-2
0.002313	-9.455410E-2	1.480660E+0	6.216564E-2
0.002375	-1.146375E-1	1.125165E+0	6.151868E-2
0.002438	-1.246792E-1	8.998510E-1	6.216564E-2
0.002500	-1.397418E-1	7.721732E-1	6.281260E-2
0.002563	-1.623356E-1	6.695302E-1	5.957781E-2
0.002625	-1.698669E-1	5.819082E-1	6.022476E-2
0.002688	-1.924607E-1	5.118105E-1	6.022476E-2
0.002750	-2.025024E-1	4.817687E-1	6.087172E-2
0.002813	-2.150545E-1	4.467198E-1	6.281260E-2
0.002875	-2.351379E-1	4.041606E-1	6.151868E-2
0.002938	-2.502005E-1	3.691117E-1	6.216564E-2
0.003000	-2.577318E-1	3.440769E-1	6.216564E-2
0.003063	-2.702839E-1	3.365664E-1	6.410651E-2
0.003125	-2.828360E-1	3.090281E-1	6.281260E-2
0.003188	-2.878569E-1	2.789862E-1	6.345955E-2
0.003250	-2.953881E-1	2.714757E-1	6.410651E-2
0.003313	-3.079403E-1	2.639653E-1	6.410651E-2
0.003375	-3.104507E-1	2.364269E-1	6.281260E-2
0.003438	-3.230028E-1	1.738398E-1	6.216564E-2
0.003500	-3.230028E-1	1.437979E-1	6.216564E-2
0.003563	-3.305341E-1	1.212665E-1	6.216564E-2
0.003625	-3.330445E-1	7.620375E-2	6.151868E-2
0.003688	-3.355550E-1	3.114098E-2	6.022476E-2
0.003750	-3.355550E-1	-6.411322E-3	6.216564E-2
0.003813	-3.355550E-1	-1.892876E-2	6.087172E-2
0.003875	-3.355550E-1	-5.898455E-2	6.281260E-2
0.003938	-3.305341E-1	-1.065508E-1	6.216564E-2
0.004000	-3.330445E-1	-1.340892E-1	6.216564E-2
0.004063	-3.355550E-1	-1.541171E-1	6.281260E-2
0.004125	-3.230028E-1	-1.991798E-1	6.216564E-2
0.004188	-3.179820E-1	-2.417391E-1	6.345955E-2
0.004250	-3.079403E-1	-2.792914E-1	6.281260E-2
0.004313	-2.878569E-1	-2.968158E-1	6.345955E-2
0.004375	-2.778152E-1	-3.343681E-1	6.410651E-2
0.004438	-2.677735E-1	-3.769274E-1	6.216564E-2
